hora;latitude;longitude;velocidade_gps;altitude;tensao;corrente;velocidade;acel_x;acel_y;acel_z;gyro_x;gyro_y;gyro_z
2023-11-08 14:07:58.399;-15.99013;-48.04371;4.752;0;49.42;-2.44;0;5.79157;-0.059855;8.5473;0.033974;-0.00173201;-0.019585
2023-11-08 14:07:59.383;-15.99015;-48.04369;4.063;0;49.42;-3.66;0;5.72932;-0.19393;8.39647;0.00799387;0.0225161;0.0131899
2023-11-08 14:08:00.273;-15.99015;-48.04368;3.192;0;49.42;-2.44;0;5.63834;-0.0622492;8.39647;0.00759418;0.0249142;0.00826034
2023-11-08 14:08:01.411;-15.99016;-48.04366;1.651;0;49.42;-2.44;0;5.64074;-0.126893;8.24563;0.00492956;0.0249142;0.0151884
2023-11-08 14:08:02.527;-15.99016;-48.04366;0.64;0;49.42;-2.44;0;5.6168;-0.248997;8.53054;0.00359724;0.0217167;0.010392
2023-11-08 14:08:03.398;-15.99017;-48.04366;43;0;49.48;-2.44;0;5.71256;-0.186748;8.35337;0.00173201;0.024781;0.0133231
2023-11-08 14:08:04.493;-15.99017;-48.04366;87;0;49.48;-3.66;0;5.71256;-0.579397;7.89847;0.0127902;0.0221164;0.0113247
2023-11-08 14:08:05.336;-15.99017;-48.04366;87;0;49.48;-2.44;0;5.78679;-0.320823;8.10198;0.0106585;0.0231822;0.012657
2023-11-08 14:08:06.552;-15.99017;-48.04365;49;0;49.48;-1.22;0;5.70538;-0.344765;8.5042;-0.0330413;0.0455651;0.0377044
2023-11-08 14:08:07.312;-15.99018;-48.04365;16;0;49.48;-2.44;0;5.60243;-0.167594;8.37492;0.00106585;0.024781;0.0139893
2023-11-08 14:08:08.563;-15.99018;-48.04365;7;0;49.54;-2.44;0;5.62398;-0.28491;8.46829;0.000799387;0.0274456;0.0122573
2023-11-08 14:08:09.353;-15.99018;-48.04365;1;0;49.54;-2.44;0;5.58567;-0.260968;8.35337;0.00239816;0.024781;0.0135896
2023-11-08 14:08:10.466;-15.99018;-48.04365;5;0;49.54;-3.66;0;5.63595;-0.162806;8.26957;0.000532925;0.0222496;0.0115911
2023-11-08 14:08:11.361;-15.99018;-48.04365;37;0;49.54;-2.44;0;5.58328;-0.268151;8.29591;0;0.0270459;0.010392
2023-11-08 14:08:12.412;-15.99018;-48.04364;27;0;49.54;-2.44;0;5.58567;-0.282516;8.41083;0.00266462;0.0237152;0.00586217
2023-11-08 14:08:13.500;-15.99018;-48.04364;42;0;49.54;-3.66;0;5.53539;-0.189142;8.46111;0.00293109;0.0285115;0.0117243
2023-11-08 14:08:14.360;-15.99018;-48.04364;42;0;49.54;-3.66;0;5.5737;-0.234632;8.37731;0.00386371;0.0258469;0.0129234
2023-11-08 14:08:15.412;-15.99018;-48.04364;43;0;49.6;-3.66;0;5.53061;-0.234632;8.4659;0.00452986;0.0239816;0.00839357
